Model,Label,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,F1
Baseline_LR_TFIDF,toxic,0.6478459530026109,0.8653007846556233,0.7409481149682717,0.9730840678628135,0.8604593711442842,
Baseline_LR_TFIDF,severe_toxic,0.2995720399429387,0.8786610878661087,0.44680851063829785,0.9881972242659814,0.4423029556293854,
Baseline_LR_TFIDF,obscene,0.6807228915662651,0.8911671924290221,0.7718579234972678,0.9853080350905318,0.8833639878850653,
Baseline_LR_TFIDF,threat,0.2761904761904762,0.8055555555555556,0.41134751773049644,0.9859696846947517,0.5106061005259999,
Baseline_LR_TFIDF,insult,0.5546311702717692,0.8467400508044031,0.6702412868632708,0.9794742099651125,0.7720735178122693,
Baseline_LR_TFIDF,identity_hate,0.23972602739726026,0.6635071090047393,0.3522012578616352,0.9763508607214378,0.43064033675282104,
model_1_LSTM_simple,toxic,0.8477011494252874,0.7715780296425457,,0.9794849704959527,0.8933032725440434,0.8078502966681881
model_1_LSTM_simple,severe_toxic,0.46,0.19166666666666668,,0.9880220642021157,0.40093533351407035,0.27058823529411763
model_1_LSTM_simple,obscene,0.8475,0.8026835043409629,,0.9863025672330564,0.8942401097910547,0.8244831779489258
model_1_LSTM_simple,threat,0.6774193548387096,0.29577464788732394,,0.9814880061850255,0.45458914688510743,0.4117647058823529
model_1_LSTM_simple,insult,0.7784926470588235,0.7165820642978004,,0.9848288328323522,0.8059013678726293,0.7462555066079295
model_1_LSTM_simple,identity_hate,0.6475409836065574,0.3744075829383886,,0.9822372265143153,0.5162917216336621,0.4744744744744745
model_1_GRU_simple,toxic,0.8382421692379617,0.7816041848299913,,0.9803588041657832,0.8965757053866462,0.8089330024813896
model_1_GRU_simple,severe_toxic,0.5284552845528455,0.2708333333333333,,0.9888252940018005,0.44580567034056573,0.3581267217630854
model_1_GRU_simple,obscene,0.8605442176870748,0.7987371744277821,,0.9865832268601255,0.8979061388192056,0.8284895620139173
model_1_GRU_simple,threat,0.6333333333333333,0.2676056338028169,,0.9808695036339976,0.428117507818653,0.37623762376237624
model_1_GRU_simple,insult,0.7996146435452793,0.7021996615905245,,0.9854438489980453,0.8157890977102251,0.7477477477477478
model_1_GRU_simple,identity_hate,0.5631578947368421,0.5071090047393365,,0.9858968532603539,0.5554074542714365,0.5336658354114713
model_2_LSTM_wloss,toxic,0.7307258367807447,0.8469921534437663,,0.9778462931751343,0.8875229442559774,0.784575005047446
model_2_LSTM_wloss,severe_toxic,0.26649746192893403,0.875,,0.9889249943731712,0.4247981853233158,0.4085603112840467
model_2_LSTM_wloss,obscene,0.6959171237050579,0.9013417521704814,,0.9858855295189968,0.8904134382014849,0.7854195323246217
model_2_LSTM_wloss,threat,0.28431372549019607,0.8169014084507042,,0.9846985537781476,0.4601855412998373,0.4218181818181818
model_2_LSTM_wloss,insult,0.5886644219977554,0.8874788494077834,,0.9843275914969005,0.7931206358486265,0.7078272604588394
model_2_LSTM_wloss,identity_hate,0.33861386138613864,0.8104265402843602,,0.983638352169158,0.5024239045674028,0.4776536312849162
model_2_GRU_wloss,toxic,0.7580772261623325,0.8387096774193549,,0.9797164458787915,0.894407114492748,0.7963576158940397
model_2_GRU_wloss,severe_toxic,0.29411764705882354,0.875,,0.988818084627504,0.43295319646259417,0.44025157232704404
model_2_GRU_wloss,obscene,0.7494963062458025,0.8808208366219415,,0.9867960978389,0.8975191438753528,0.8098693759071117
model_2_GRU_wloss,threat,0.3548387096774194,0.7746478873239436,,0.9811433444581168,0.4931507771504788,0.48672566371681414
model_2_GRU_wloss,insult,0.5941043083900227,0.8866328257191202,,0.9850067826158603,0.8065021545413096,0.7114731839782756
model_2_GRU_wloss,identity_hate,0.3464566929133858,0.8341232227488151,,0.9861926997238301,0.5220964192816407,0.48956884561891517
model_3_BiLSTM,toxic,0.882016632016632,0.7397558849171753,,0.9800454905928583,0.8948435382329771,0.8046467520151731
model_3_BiLSTM,severe_toxic,0.5,0.3375,,0.9888219530722484,0.43622816533037073,0.40298507462686567
model_3_BiLSTM,obscene,0.8856624319419237,0.7703235990528808,,0.9866336070214418,0.8980324471288811,0.8239763613338962
model_3_BiLSTM,threat,0.6842105263157895,0.36619718309859156,,0.9854941085861492,0.49837084306772067,0.47706422018348627
model_3_BiLSTM,insult,0.7990243902439025,0.6928934010152284,,0.9850089019509334,0.8108502486687755,0.742183960126869
model_3_BiLSTM,identity_hate,0.6083916083916084,0.41232227488151657,,0.9836381524078726,0.5043907753876016,0.4915254237288136
model_3_BiGRU,toxic,0.8857747223691169,0.7301656495204882,,0.9799700576561428,0.8948991559162491,0.8004778972520908
model_3_BiGRU,severe_toxic,0.514018691588785,0.22916666666666666,,0.9892928483006977,0.4413301681054033,0.3170028818443804
model_3_BiGRU,obscene,0.8446443172526574,0.8153117600631413,,0.9864194129976567,0.8981603027935807,0.8297188755020081
model_3_BiGRU,threat,0.6470588235294118,0.30985915492957744,,0.986569996134359,0.506302649953379,0.41904761904761906
model_3_BiGRU,insult,0.7743957027752909,0.7318104906937394,,0.9854017039751437,0.8138103201856878,0.7525010874293171
model_3_BiGRU,identity_hate,0.6666666666666666,0.3412322274881517,,0.9836053915570894,0.5132911247815801,0.45141065830721006
model_7_BiLSTM_Reg,toxic,0.8583252190847127,0.7685265911072363,,0.9812714419885065,0.8984213695157285,0.8109475620975161
model_7_BiLSTM_Reg,severe_toxic,0.47953216374269003,0.3416666666666667,,0.9893552709318028,0.43111424956723843,0.39902676399026765
model_7_BiLSTM_Reg,obscene,0.849789029535865,0.7947908445146015,,0.9876727892431427,0.8950860453013751,0.8213703099510603
model_7_BiLSTM_Reg,threat,0.6363636363636364,0.49295774647887325,,0.9848962621317682,0.4906802309356209,0.5555555555555556
model_7_BiLSTM_Reg,insult,0.7469586374695864,0.7791878172588832,,0.985828619857768,0.8136429025736429,0.7627329192546584
model_7_BiLSTM_Reg,identity_hate,0.6064516129032258,0.44549763033175355,,0.9846305664730647,0.5285769216797986,0.5136612021857924
model_8_GRU_Simple128,toxic,0.8491646778042959,0.7755013077593723,,0.9815542298963872,0.9004876199927943,0.810663021189337
model_8_GRU_Simple128,severe_toxic,0.48739495798319327,0.24166666666666667,,0.9885923081251407,0.4241691678032304,0.3231197771587744
model_8_GRU_Simple128,obscene,0.8533333333333334,0.8082083662194159,,0.9873187354349717,0.9001989693823799,0.8301580867450344
